,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, IÛªm the one they call.","Ultra Nerd:  I build my own computers, run my own servers, code my own apps. IÛªm basically Mr. Robot.",Luddite:  Technology scares me! I only use it when I have to.,Average User:   I know enough to get by.
Azerbaijan,2.0,1.0,,
Palestinian Territory,4.0,,1.0,1.0
Macau,2.0,,,
Algeria,240.0,94.0,88.0,304.0
Brazil,5444.0,1080.0,442.0,5780.0
Sao Tome and Principe,,,,1.0
"Congo, The Democratic Republic of the",15.0,6.0,1.0,22.0
Reunion,141.0,25.0,35.0,172.0
Namibia,6.0,3.0,1.0,12.0
Curacao,4.0,,,4.0
Bolivia,144.0,23.0,28.0,197.0
Saint Pierre and Miquelon,5.0,,,1.0
Jersey,4.0,2.0,,8.0
Bahamas,5.0,,,2.0
Comoros,,1.0,,1.0
Lebanon,26.0,6.0,,12.0
Bulgaria,73.0,35.0,3.0,35.0
Indonesia,361.0,113.0,51.0,285.0
Venezuela,521.0,96.0,106.0,801.0
Vietnam,36.0,18.0,5.0,30.0
Sudan,8.0,6.0,1.0,6.0
Tajikistan,,1.0,,
Cambodia,15.0,7.0,1.0,19.0
Equatorial Guinea,1.0,,,3.0
Armenia,4.0,3.0,,2.0
Somalia,2.0,1.0,,1.0
Sierra Leone,1.0,1.0,2.0,
Latvia,26.0,5.0,,8.0
Philippines,191.0,38.0,15.0,187.0
Anonymous Proxy,21.0,11.0,2.0,3.0
Ukraine,26.0,31.0,3.0,13.0
Panama,75.0,8.0,12.0,64.0
"Virgin Islands, U.S.",2.0,1.0,,1.0
Cuba,42.0,11.0,7.0,39.0
Sri Lanka,42.0,10.0,3.0,36.0
Puerto Rico,39.0,7.0,5.0,47.0
Spain,2239.0,705.0,261.0,2491.0
Pakistan,143.0,41.0,19.0,98.0
Saudi Arabia,52.0,12.0,3.0,21.0
Isle of Man,4.0,,1.0,8.0
Mali,23.0,2.0,5.0,23.0
Solomon Islands,2.0,,,
Marshall Islands,,,,1.0
Finland,106.0,49.0,4.0,56.0
Macedonia,17.0,7.0,1.0,4.0
"Korea, Republic of",24.0,6.0,4.0,12.0
Guyana,8.0,,,7.0
Romania,191.0,90.0,4.0,82.0
Albania,32.0,8.0,1.0,19.0
Estonia,32.0,9.0,,10.0
Burkina Faso,8.0,6.0,10.0,30.0
Malaysia,139.0,26.0,11.0,114.0
Cape Verde,1.0,,,5.0
Anguilla,1.0,,,
Mauritius,28.0,5.0,1.0,28.0
Dominica,,,,1.0
Christmas Island,,,,1.0
Hong Kong,44.0,13.0,1.0,15.0
Thailand,62.0,27.0,7.0,77.0
Cameroon,77.0,15.0,15.0,120.0
Liechtenstein,6.0,,,2.0
Peru,329.0,77.0,47.0,387.0
Italy,10749.0,2508.0,1442.0,13110.0
Austria,960.0,257.0,47.0,820.0
Kyrgyzstan,,,,1.0
Mauritania,3.0,1.0,,1.0
Germany,9804.0,2687.0,742.0,10799.0
Zambia,8.0,2.0,1.0,12.0
Saint Kitts and Nevis,1.0,,,1.0
Mozambique,4.0,2.0,,16.0
Czech Republic,77.0,33.0,2.0,33.0
Madagascar,59.0,12.0,6.0,83.0
Holy See (Vatican City State),,,,2.0
Cayman Islands,1.0,1.0,,
Chad,1.0,,1.0,6.0
Uzbekistan,,,,1.0
Slovenia,43.0,11.0,4.0,15.0
Norway,121.0,52.0,4.0,66.0
Saint Lucia,1.0,,,1.0
Serbia,86.0,45.0,2.0,41.0
Gabon,19.0,3.0,5.0,19.0
Qatar,17.0,,,10.0
Monaco,12.0,,,9.0
New Zealand,202.0,49.0,20.0,314.0
"Iran, Islamic Republic of",128.0,77.0,20.0,67.0
Benin,27.0,7.0,3.0,41.0
Aruba,,,1.0,2.0
San Marino,7.0,1.0,1.0,6.0
Dominican Republic,117.0,17.0,2.0,91.0
Lesotho,2.0,,,2.0
Guernsey,3.0,4.0,,5.0
